N,M,total,average
4,3,16619,1586
8,3,19173,1760
16,3,35205,1391
32,3,67470,1206
64,3,136206,1190
128,3,281487,1247
256,3,644894,1527
512,3,1358296,1664
1024,3,3217184,2163
1024,2,3255207,2195
1024,4,3174679,2106
1024,8,3109495,2072
1024,16,3508310,2424
1024,32,3062830,2027
1024,64,3041355,2011
1024,128,3049265,2014
1024,256,3127274,2091
1024,512,3062202,2026
